Sample	Level	Chromosome	Total_Raw_Reads	Mapped_Reads	Proportion
B1R1-14C-D10-E1	Global	All	1085964564	558799999	0.514566
B1R1-14C-D10-E1	Chromosome	NC_134838.1	1085964564	46278426	0.042615
B1R1-14C-D10-E1	Chromosome	NC_134839.1	1085964564	41532037	0.0382444
B1R1-14C-D10-E1	Chromosome	NC_134840.1	1085964564	38679875	0.035618
B1R1-14C-D10-E1	Chromosome	NC_134841.1	1085964564	37348264	0.0343918
B1R1-14C-D10-E1	Chromosome	NC_134842.1	1085964564	31112819	0.0286499
B1R1-14C-D10-E1	Chromosome	NC_134843.1	1085964564	34405633	0.0316821
B1R1-14C-D10-E1	Chromosome	NC_134844.1	1085964564	30273176	0.0278768
B1R1-14C-D10-E1	Chromosome	NC_134845.1	1085964564	29083426	0.0267812
B1R1-14C-D10-E1	Chromosome	NC_134846.1	1085964564	32196441	0.0296478
B1R1-14C-D10-E1	Chromosome	NC_134847.1	1085964564	29277906	0.0269603
B1R1-14C-D10-E1	Chromosome	NC_134848.1	1085964564	26257605	0.0241791
B1R1-14C-D10-E1	Chromosome	NC_134849.1	1085964564	29158781	0.0268506
B1R1-14C-D10-E1	Chromosome	NC_134850.1	1085964564	23631970	0.0217613
B1R1-14C-D10-E1	Chromosome	NC_134851.1	1085964564	21789677	0.0200648
B1R1-D1-E1	Global	All	966818196	917090009	0.948565
B1R1-D1-E1	Chromosome	NC_134838.1	966818196	80153960	0.0829049
B1R1-D1-E1	Chromosome	NC_134839.1	966818196	72673006	0.0751672
B1R1-D1-E1	Chromosome	NC_134840.1	966818196	67133929	0.069438
B1R1-D1-E1	Chromosome	NC_134841.1	966818196	65071902	0.0673052
B1R1-D1-E1	Chromosome	NC_134842.1	966818196	52477307	0.0542784
B1R1-D1-E1	Chromosome	NC_134843.1	966818196	59539947	0.0615834
B1R1-D1-E1	Chromosome	NC_134844.1	966818196	51568920	0.0533388
B1R1-D1-E1	Chromosome	NC_134845.1	966818196	48788638	0.0504631
B1R1-D1-E1	Chromosome	NC_134846.1	966818196	55140983	0.0570335
B1R1-D1-E1	Chromosome	NC_134847.1	966818196	49433601	0.0511302
B1R1-D1-E1	Chromosome	NC_134848.1	966818196	44286920	0.0458069
B1R1-D1-E1	Chromosome	NC_134849.1	966818196	45731256	0.0473008
B1R1-D1-E1	Chromosome	NC_134850.1	966818196	40112812	0.0414895
