Sample	Total_Reads	Unmapped_Reads	Mapped_Reads	Proportion_Mapped
B1R1-14C-D10-E1	558799999	527164565	31635434	0.0566
B1R1-D1-E1	917090009	49728187	867361822	0.9458
B1R2-14C-D10-E1	757413963	169716541	587697422	0.7759
B1R2-22C-D10-E1	264124609	735374461	-471249852	-1.7842
B1R2-D1-E1	770140853	35626973	734513880	0.9537
B1R3-14C-D10-E1	605530353	547422057	58108296	0.0960
B1R3-B2R1-22-D10-E1	865049757	90129325	774920432	0.8958
B1R3-D1-E1	1047882263	51213441	996668822	0.9511
B1R4-D1-E1	853942864	49748649	804194215	0.9417
B1R5-D1-E1	899699317	53855535	845843782	0.9401
B2R1-22C-D10-E1	248755308	356420272	-107664964	-0.4328
B2R1-D1-E1	972226405	49438045	922788360	0.9491
B2R2-14C-D10-E1	578661633	302685265	275976368	0.4769
B2R2-22C-D10-E1	764313422	154220082	610093340	0.7982
B2R2-D1-E1	933909910	41408704	892501206	0.9557
B2R3-14C-D10-E1	291420684	755526272	-464105588	-1.5926
B2R3-22C-D10-E1	192735123	748628353	-555893230	-2.8842
B2R3-D1-E1	815789249	41212697	774576552	0.9495
B2R4-D1-E1	897123473	55885093	841238380	0.9377
B2R6-D1-E1	942470289	58483705	883986584	0.9379
B3R1-14C-D10-E1	534404243	584834549	-50430306	-0.0944
B3R1-22C-D10-E1	413421439	603346397	-189924958	-0.4594
B3R1-D1-E1	1013969228	56964946	957004282	0.9438
B3R2-14C-D10-E1	130387755	745486071	-615098316	-4.7175
B3R2-22C-D10-E1	719958541	245318609	474639932	0.6593
B3R2-D1-E1	893393529	57529191	835864338	0.9356
B3R3-14C-D10-E1	817359053	150959201	666399852	0.8153
B3R3-22C-D10-E1	591917157	115969951	475947206	0.8041
B3R3-D1-E1	528881967	28971555	499910412	0.9452
B3R4-D1-E1	251719461	14963199	236756262	0.9406
B3R6-D1-E1	380116693	22277759	357838934	0.9414
C1R1-14C-D20-E1	862353847	178541101	683812746	0.7930
C1R1-22C-D10-E1	237571720	691631026	-454059306	-1.9113
C1R1-22C-D19-E1	169683482	665695738	-496012256	-2.9232
C1R2-14C-D20-E1	594919801	406592847	188326954	0.3166
C1R2-22C-D19-E1	138927144	761554573	-622627429	-4.4817
C1R3-14C-D20-E1	365475006	582957410	-217482404	-0.5951
C1R3-22C-D19-E1	213566782	699660474	-486093692	-2.2761
C1R3-C2R1-22C-D19-E1	856624216	233279678	623344538	0.7277
C2R1-14C-D10-E1	573221163	468461615	104759548	0.1828
C2R1-14C-D20-E1	683152289	366466475	316685814	0.4636
C2R1-22C-D19-E1	641227382	370619102	270608280	0.4220
C2R2-14C-D20-E1	860387910	192704680	667683230	0.7760
C2R2-22C-D19-E1	602626395	624149965	-21523570	-0.0357
C2R3-14C-D20-E1	688891592	264241446	424650146	0.6164
C2R3-22C-D19-E1	358570916	517610204	-159039288	-0.4435
C3R1-14C-D20-E1	854583880	284099692	570484188	0.6676
C3R1-22C-D19-E1	255231858	731528096	-476296238	-1.8661
C3R2-14C-D20-E1	522302491	393265841	129036650	0.2471
C3R2-22C-D19-E1	431072877	540818531	-109745654	-0.2546
C3R3-22C-D19-E1	649352047	275370641	373981406	0.5759
C3R3-D20-14-E1	623151857	216063427	407088430	0.6533
F02	1075982679	59554899	1016427780	0.9447
F03	847942873	47296389	800646484	0.9442
F04	844599205	42103687	802495518	0.9501
F05	949142846	46034508	903108338	0.9515
F06	865305246	48518300	816786946	0.9439
F1-GR-E2	1008701155	57921789	950779366	0.9426
M01	1093847403	57537757	1036309646	0.9474
M04	1119688876	64268068	1055420808	0.9426
M05	940440141	51024389	889415752	0.9457
M06	1156316531	65577773	1090738758	0.9433
M07	1095589913	58775905	1036814008	0.9464
M08	873439332	42894780	830544552	0.9509
M09	921729481	54723073	867006408	0.9406
M10	949072178	56640576	892431602	0.9403
M11	943002108	50083384	892918724	0.9469
M12	1019185285	55971877	963213408	0.9451
M2-GR-E1	1083443320	57999776	1025443544	0.9465
M3-GR-E2	881257466	47348840	833908626	0.9463
