sample	chromosome	start_pos	end_pos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
B1R1-14C-D10-E1	NC_134838.1	1	133122103	46278426	130532891	98.055	36.6609	39.6	31.7
B1R1-14C-D10-E1	NC_134839.1	1	115872679	41532037	114513944	98.8274	38.1537	39.6	32.5
B1R1-14C-D10-E1	NC_134840.1	1	112047329	38679875	109192052	97.4517	36.1735	39.6	31.9
B1R1-14C-D10-E1	NC_134841.1	1	104860103	37348264	103104838	98.3261	37.8748	39.6	32.8
B1R1-14C-D10-E1	NC_134842.1	1	102992780	31112819	97811787	94.9696	30.6498	39.6	28.9
B1R1-14C-D10-E1	NC_134843.1	1	102858672	34405633	99455173	96.6911	34.6361	39.6	31.3
B1R1-14C-D10-E1	NC_134844.1	1	98048912	30273176	93901416	95.77	31.3805	39.5	29.8
B1R1-14C-D10-E1	NC_134845.1	1	97139405	29083426	92188037	94.9028	29.9928	39.6	30.1
B1R1-14C-D10-E1	NC_134846.1	1	94721750	32196441	92385613	97.5337	35.4673	39.5	32
B1R1-14C-D10-E1	NC_134847.1	1	91363364	29277906	88194625	96.5317	32.8726	39.6	30.7
B1R1-14C-D10-E1	NC_134848.1	1	86550376	26257605	82594448	95.4293	30.9028	39.5	28.4
B1R1-14C-D10-E1	NC_134849.1	1	81349889	29158781	77860212	95.7103	31.3882	39.4	24.1
B1R1-14C-D10-E1	NC_134850.1	1	74365144	23631970	71216113	95.7654	32.3991	39.5	30.5
B1R1-14C-D10-E1	NC_134851.1	1	73464853	21789677	69407593	94.4773	29.7929	39.6	29.4
B1R1-D1-E1	NC_134838.1	1	133122103	80153960	130977605	98.3891	73.6739	39.6	35.1
B1R1-D1-E1	NC_134839.1	1	115872679	72673006	114854083	99.1209	76.9276	39.6	35.9
B1R1-D1-E1	NC_134840.1	1	112047329	67133929	109622600	97.836	72.9455	39.6	35.4
B1R1-D1-E1	NC_134841.1	1	104860103	65071902	103368714	98.5777	76.3683	39.6	36.3
B1R1-D1-E1	NC_134842.1	1	102992780	52477307	98351604	95.4937	60.5951	39.6	31.8
B1R1-D1-E1	NC_134843.1	1	102858672	59539947	99695803	96.925	70.0119	39.6	34.8
B1R1-D1-E1	NC_134844.1	1	98048912	51568920	94377026	96.255	62.9711	39.6	33.2
B1R1-D1-E1	NC_134845.1	1	97139405	48788638	92517427	95.2419	59.757	39.6	33.7
B1R1-D1-E1	NC_134846.1	1	94721750	55140983	92695263	97.8606	70.8089	39.6	35.5
B1R1-D1-E1	NC_134847.1	1	91363364	49433601	88398468	96.7548	65.1459	39.6	33.9
B1R1-D1-E1	NC_134848.1	1	86550376	44286920	83136231	96.0553	60.6223	39.6	31.3
B1R1-D1-E1	NC_134849.1	1	81349889	45731256	78225895	96.1598	62.0437	39.5	29.1
B1R1-D1-E1	NC_134850.1	1	74365144	40112812	71656994	96.3583	64.4377	39.6	33.7
B1R1-D1-E1	NC_134851.1	1	73464853	36240286	69694219	94.8674	58.4844	39.6	32.5
B1R2-14C-D10-E1	NC_134838.1	1	133122103	62202080	131087767	98.4718	55.9029	39.6	33.8
B1R2-14C-D10-E1	NC_134839.1	1	115872679	56423964	114880238	99.1435	58.5485	39.6	34.8
B1R2-14C-D10-E1	NC_134840.1	1	112047329	52021703	109721915	97.9246	55.277	39.6	34.2
B1R2-14C-D10-E1	NC_134841.1	1	104860103	50236706	103477004	98.681	57.6716	39.6	35.1
B1R2-14C-D10-E1	NC_134842.1	1	102992780	41312560	98743434	95.8741	46.5929	39.6	30.9
B1R2-14C-D10-E1	NC_134843.1	1	102858672	46509072	100201712	97.4169	53.4572	39.6	33.7
B1R2-14C-D10-E1	NC_134844.1	1	98048912	40277718	94559343	96.441	47.9294	39.6	32
B1R2-14C-D10-E1	NC_134845.1	1	97139405	38657817	93143839	95.8868	46.1199	39.6	32.6
B1R2-14C-D10-E1	NC_134846.1	1	94721750	43580745	92869192	98.0442	54.756	39.6	34.5
B1R2-14C-D10-E1	NC_134847.1	1	91363364	39160661	88885493	97.2879	50.4093	39.6	33.1
B1R2-14C-D10-E1	NC_134848.1	1	86550376	35339863	83416040	96.3786	47.4056	39.6	30.4
B1R2-14C-D10-E1	NC_134849.1	1	81349889	37085246	78544197	96.5511	48.3945	39.5	27.8
B1R2-14C-D10-E1	NC_134850.1	1	74365144	31544327	71696385	96.4113	49.4233	39.6	32.6
B1R2-14C-D10-E1	NC_134851.1	1	73464853	28776991	70098238	95.4174	45.373	39.6	31.6
B1R2-22C-D10-E1	NC_134838.1	1	133122103	23106907	124556250	93.5654	12.6911	39.6	27.6
B1R2-22C-D10-E1	NC_134839.1	1	115872679	20641552	110602228	95.4515	13.3425	39.6	28.6
B1R2-22C-D10-E1	NC_134840.1	1	112047329	19434930	104114695	92.9203	12.5693	39.6	27.8
B1R2-22C-D10-E1	NC_134841.1	1	104860103	18632857	99391347	94.7847	13.185	39.6	28.4
B1R2-22C-D10-E1	NC_134842.1	1	102992780	15610749	89750617	87.1426	10.2756	39.6	24.8
B1R2-22C-D10-E1	NC_134843.1	1	102858672	17235777	93924641	91.3143	11.822	39.6	26.9
B1R2-22C-D10-E1	NC_134844.1	1	98048912	15419103	86896586	88.6258	10.7388	39.6	25.6
B1R2-22C-D10-E1	NC_134845.1	1	97139405	15049178	84486937	86.9749	10.269	39.6	25.7
B1R2-22C-D10-E1	NC_134846.1	1	94721750	16242881	87980242	92.8828	12.2662	39.6	27.6
B1R2-22C-D10-E1	NC_134847.1	1	91363364	14772062	82009448	89.7619	11.1265	39.6	26.2
B1R2-22C-D10-E1	NC_134848.1	1	86550376	12746982	75398570	87.1152	10.0133	39.6	24.2
B1R2-22C-D10-E1	NC_134849.1	1	81349889	15032776	71451893	87.8328	10.9863	39.2	20.1
B1R2-22C-D10-E1	NC_134850.1	1	74365144	11821164	66028623	88.7897	10.8761	39.6	25.8
B1R2-22C-D10-E1	NC_134851.1	1	73464853	11113372	63388215	86.2837	10.019	39.6	25.1
B1R2-D1-E1	NC_134838.1	1	133122103	68083027	130664844	98.1541	62.0152	39.6	35
B1R2-D1-E1	NC_134839.1	1	115872679	62179505	114679044	98.9699	65.2866	39.6	36
B1R2-D1-E1	NC_134840.1	1	112047329	57308728	109345636	97.5888	61.7406	39.6	35.4
B1R2-D1-E1	NC_134841.1	1	104860103	55683432	103194633	98.4117	64.8284	39.6	36.3
B1R2-D1-E1	NC_134842.1	1	102992780	44894182	97889479	95.045	51.3724	39.6	31.8
B1R2-D1-E1	NC_134843.1	1	102858672	51046689	99420086	96.657	59.5169	39.6	34.9
B1R2-D1-E1	NC_134844.1	1	98048912	44176188	94010578	95.8813	53.4681	39.6	33.2
B1R2-D1-E1	NC_134845.1	1	97139405	41766202	92074885	94.7863	50.6736	39.6	33.6
B1R2-D1-E1	NC_134846.1	1	94721750	47213360	92471678	97.6245	60.1169	39.6	35.5
B1R2-D1-E1	NC_134847.1	1	91363364	42478783	88087743	96.4147	55.5183	39.6	34
B1R2-D1-E1	NC_134848.1	1	86550376	38102028	82766133	95.6277	51.7439	39.6	31.4
B1R2-D1-E1	NC_134849.1	1	81349889	38129553	77920233	95.7841	53.2509	39.6	30.3
B1R2-D1-E1	NC_134850.1	1	74365144	34447792	71402023	96.0154	54.8755	39.6	33.8
B1R2-D1-E1	NC_134851.1	1	73464853	31043620	69370817	94.4272	49.6272	39.6	32.5
